Age,"Sample size",Mean,"Standard error",Median
"All ages",15181,51.7,0.23,51.6
"2–11 months",805,52,0.41,51.5
"1–2 years",1139,53.2,0.45,52.5
"3–5 years",1517,54.8,0.38,55.4
"6–11 years",1553,53.3,0.36,53.1
"12–15 years",848,54.6,0.59,54.2
"16–19 years",810,53.2,0.79,52.4
"20–29 years",1813,51.6,0.57,51.3
"30–39 years",1814,49.7,0.5,48.8
"40–49 years",1315,49.5,0.54,48.8
"50–59 years",979,50.8,0.58,51.1
"60–69 years",1097,52.5,0.54,51.9
"70–79 years",895,52.9,0.56,53.2
"80 years and over",596,55.1,0.49,54.2
