Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",505,12.2,0.22,8.2,8.8,9.2,10.2,11.8,14,15.3,16,17.7
"3 years",478,11.2,0.22,*,7.9,8.6,9.2,10.8,12.7,14,15,*
"4 years",536,11.5,0.26,6.9,7.5,8.1,9.2,10.7,13.1,14.7,15.5,17.7
"5 years",485,11.3,0.29,6.9,7.7,8.1,8.8,10.4,12.9,14.3,15.4,17.1
"6 years",278,12.8,0.72,*,7.2,7.4,8.3,10.9,13.5,17.3,22.1,*
"7 years",264,12.3,0.55,*,7.3,7.7,8.8,11,14.3,16.3,19.8,*
"8 years",254,13.6,0.73,*,7.5,7.9,8.7,10.9,16.7,19.6,23.6,*
"9 years",263,15.1,0.89,*,7.2,8.1,9.3,12.2,16.6,24.6,32.8,*
"10 years",281,16.5,0.87,*,7.1,7.9,10,13.8,20.2,27.7,29.7,*
"11 years",259,15.9,0.75,*,7.8,8.4,10.5,13.9,20.6,23.8,27.5,*
"12 years",192,16.2,0.89,*,*,8.4,10.4,14.7,20.6,23.2,*,*
"13 years",171,14.4,0.98,*,*,7,9,11.8,17.7,24.9,*,*
"14 years",171,13.2,0.98,*,*,7.1,7.8,10.3,15,22,*,*
"15 years",170,12.4,0.95,*,*,6.4,7.7,9.7,13.9,20,*,*
"16 years",181,11.7,0.7,*,*,6.9,7.8,10.2,13.6,16.8,*,*
"17 years",181,11.6,0.74,*,*,5.8,7.7,10,14.5,17.1,*,*
"18 years",162,11.5,0.78,*,*,6.5,7.6,9.4,14.2,17.5,*,*
"19 years",149,13.4,1.15,*,*,*,8,10,16.7,*,*,*
"20 years and older",7145,14.6,0.18,5.9,7,7.8,9.3,12.9,18,21.7,24.3,30.5
"20–29 years",1493,13.6,0.29,5.6,6.4,7.2,8.2,11.9,17.1,20.3,22.6,29.2
"30–39 years",1375,14.7,0.32,5.9,7,8.1,9.5,12.9,18,21.7,24.3,30.5
"40–49 years",1128,15.1,0.36,6.5,7.5,8.2,9.7,13.7,18,21.7,24.1,32.1
"50–59 years",796,15.5,0.42,6.3,7.6,8.5,10,13.9,18.7,23.1,25.8,31.7
"60–69 years",1079,15,0.37,6.5,7.2,8,9.5,13,18.5,22.1,24.5,31.5
"70–79 years",752,14.6,0.44,6,7.1,7.9,8.9,12.5,18.4,21.8,26.2,30.8
"80 years and older",522,14.3,0.49,5.5,6.7,7.5,9.2,12.5,18.3,21.6,24.8,28.4
