Age,"Education less than 5 years : Mean","Education less than 5 years : standard error","Education less than 5 years : standard deviation","Education 5-8 years : Mean","Education 5-8 years : standard error","Education 5-8 years : standard deviation","Education 9-12 years : Mean","Education 9-12 years : standard error","Education 9-12 years : standard deviation","Education 13 years or more : Mean","Education 13 years or more : standard error","Education 13 years or more : standard deviation"
"7-17 years (education : head of the household)",109.9,2.38,15.9,109.5,0.87,13.4,109.3,0.57,13.8,107.3,0.68,14.1
"7-11 years (education : head of the household)",103.3,2.4,12.1,103.9,1.07,11.2,104,0.78,12.1,101.4,0.98,12.5
"12-17 years (education : head of the household)",115.9,2.35,16.6,113,0.99,13.4,113.8,0.73,13.6,112.3,0.65,13.5
"18-74 years",146,2.04,27.4,139.1,0.84,25,128.3,0.51,20.7,125.3,0.59,19.1
"18-24 years",124.9,4.19,10.6,118,1.76,12.9,119.7,0.56,14.4,117.9,0.74,12.7
"25-34 years",129.7,5.28,18.8,121.6,1.42,13,121.8,0.55,15.2,119,0.71,13.7
"35-44 years",129.6,2.22,19.2,129.7,1.01,17.9,125.2,0.83,18,124.2,1.01,16
"45-54 years",143.1,4.33,26.1,137.2,1.92,25.4,133,1.13,21.8,132.7,1.98,21.4
"55-64 years",148.6,3.58,25.7,145.6,1.54,24.3,140.3,0.94,22.5,138.2,2.42,22.9
"65-74 years",158.4,1.92,28.2,150.1,1.22,25.3,150,1.09,24.6,145.8,1.14,22.7
"Age-adjusted value (18-74 years)",136.9,,,131.6,,,129.6,,,129.1,,
