| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.07           |
| 2–11 months       | 0.29           |
| 1–2 years         | 0.16           |
| 3–5 years         | 0.16           |
| 6–11 years        | 0.13           |
| 12–15 years       | 0.2            |
| 16–19 years       | 0.22           |
| 20–29 years       | 0.14           |
| 30–39 years       | 0.18           |
| 40–49 years       | 0.21           |
| 50–59 years       | 0.23           |
| 60–69 years       | 0.17           |
| 70–79 years       | 0.2            |
| 80 years and over | 0.11           |
