"Cause of death","Age-adjusted rate"
"All causes",715.2
"Diseases of heart",161.5
"Malignant neoplasms",146.2
"Accidents (unintentional injuries)",49.3
"Chronic lower respiratory diseases",38.2
"Cerebrovascular diseases",37
"Alzheimer disease",29.8
"Diabetes mellitus",21.6
"Nephritis, nephrotic syndrome and nephrosis",12.7
"Influenza and pneumonia",12.3
"Intentional self–harm (suicide)",13.9
"Chronic liver disease and cirrhosis",11.3
Septicemia,9.5
"Essential hypertension and hypertensive renal disease",8.9
"Parkinson disease",8.8
"Pneumonitis due to solids and liquids",4.7
