Age,"Sample size",Mean,"Standard error",Median
"All ages",15182,24.3,0.33,19.7
"2–11 months",805,8.5,0.42,6.3
"1–2 years",1139,19.6,0.56,16.9
"3–5 years",1517,24.3,0.49,21.8
"6–11 years",1553,26.3,1.12,23.2
"12–15 years",848,33.9,1.41,31.2
"16–19 years",811,33,1.26,30.9
"20–29 years",1813,31,1.05,25.4
"30–39 years",1814,24.5,0.69,19.7
"40–49 years",1315,22,0.71,17.6
"50–59 years",979,18.8,0.63,15.3
"60–69 years",1097,18.8,0.6,15.3
"70–79 years",895,16.9,0.48,15.1
"80 years and over",596,17.9,0.55,14.7
