Age,"Sample size",Mean,"Standard error",Median
"All ages",29105,1283,10.1,1161
"2–11 months",1620,610,11.9,523
"1–2 years",2310,950,11.4,905
"3–5 years",2941,1053,15.3,1005
"6–11 years",3134,1241,19.2,1169
"12–15 years",1599,1342,34.6,1228
"16–19 years",1522,1461,38.6,1326
"20–29 years",3400,1434,19.2,1288
"30–39 years",3238,1404,20,1283
"40–49 years",2503,1305,22.9,1206
"50–59 years",1799,1250,20.5,1144
"60–69 years",2208,1167,17.7,1070
"70–79 years",1678,1085,14.3,1001
"80 years and over",1153,1023,19.8,931
