"Cause of death",Number
"All causes",29771
"Enterocolitis due to Clostridium difficile",2
Septicemia,113
"Viral hepatitis",7
"Human immunodeficiency virus (HIV) disease",55
"Malignant neoplasms",1388
"- Malignant neoplasms of lip, oral cavity and pharynx",15
"- Malignant neoplasm of esophagus",6
"- Malignant neoplasm of stomach",20
"- Malignant neoplasms of colon, rectum and anus",37
"- Malignant neoplasms of liver and intrahepatic bile ducts",35
"- Malignant neoplasm of pancreas",7
"- Malignant neoplasms of trachea, bronchus and lung",22
"- Malignant melanoma of skin",14
"- Malignant neoplasm of breast",11
"- Malignant neoplasm of cervix uteri",8
"- Malignant neoplasm of ovary",18
"- Malignant neoplasm of prostate",3
"- Malignant neoplasms of kidney and renal pelvis",27
"- Malignant neoplasm of bladder",1
"- Malignant neoplasms of meninges, brain and other parts of central nervous system",232
"- Non-Hodgkin lymphoma",97
"- Multiple myeloma and immunoproliferative neoplasms",1
"- Leukemia",296
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",66
Anemias,54
"Diabetes mellitus",248
"Nutritional deficiencies",10
Obesity,84
"Parkinson disease",–
"Alzheimer disease",–
"Major cardiovascular diseases",1097
"- Diseases of heart",872
"- Essential hypertension and hypertensive renal disease",19
"- Cerebrovascular diseases",158
"- Atherosclerosis",–
"- Aortic aneurysm and dissection",28
"Influenza and pneumonia",175
"Chronic lower respiratory diseases",168
"Pneumonitis due to solids and liquids",33
"Chronic liver disease and cirrhosis",33
"- Alcoholic liver disease",25
"Cholelithiasis and other disorders of gallbladder",2
"Nephritis, nephrotic syndrome and nephrosis",68
"Pregnancy, childbirth and the puerperium",150
"Certain conditions originating in the perinatal period",12
"Congenital malformations, deformations and chromosomal abnormalities",390
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",502
"Accidents (unintentional injuries)",11755
"- Motor vehicle accidents",6031
"- Falls",178
"- Accidental discharge of firearms",128
"- Accidental drowning and submersion",415
"- Accidental hanging, strangulation, and suffocation",108
"- Accidental exposure to smoke, fire and flames",81
"- Accidental poisoning and exposure to noxious substances",4346
"Intentional self–harm (suicide)",5954
"- Intentional self–harm (suicide) by poisoning",482
"- Intentional self–harm (suicide) by hanging, strangulation and suffocation",2153
"- Intentional self–harm (suicide) by discharge of firearms",2800
"Assault (homicide)",4774
"- Assault (homicide) by discharge of firearms",4339
"Legal intervention",104
"Complications of medical and surgical care",53
"Dementia-related causes",5
"Drug-induced deaths",4891
"- Drug overdose deaths",4777
"Alcohol-induced deaths",164
"Injury by firearms",7437
