"Cause of death",Number
"All causes",5497
"Enterocolitis due to Clostridium difficile",–
Septicemia,63
"Viral hepatitis",1
"Human immunodeficiency virus (HIV) disease",1
"Malignant neoplasms",775
"  Malignant neoplasms of lip, oral cavity and pharynx",1
"  Malignant neoplasm of esophagus",–
"  Malignant neoplasm of stomach",1
"  Malignant neoplasms of colon, rectum and anus",1
"  Malignant neoplasms of liver and intrahepatic bile ducts",9
"  Malignant neoplasm of pancreas",–
"  Malignant neoplasms of trachea, bronchus and lung",4
"  Malignant melanoma of skin",3
"  Malignant neoplasm of breast",–
"  Malignant neoplasm of cervix uteri",–
"  Malignant neoplasm of ovary",1
"  Malignant neoplasm of prostate",–
"  Malignant neoplasms of kidney and renal pelvis",23
"  Malignant neoplasm of bladder",1
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",294
"  Non-Hodgkin lymphoma",18
"  Multiple myeloma and immunoproliferative neoplasms",1
"  Leukemia",189
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",66
Anemias,29
"Diabetes mellitus",26
"Nutritional deficiencies",3
Obesity,9
"Parkinson disease",–
"Alzheimer disease",–
"Major cardiovascular diseases",275
"  Diseases of heart",178
"  Essential hypertension and hypertensive renal disease",–
"  Cerebrovascular diseases",85
"  Atherosclerosis",2
"  Aortic aneurysm and dissection",6
"Influenza and pneumonia",123
"Chronic lower respiratory diseases",150
"Pneumonitis due to solids and liquids",10
"Chronic liver disease and cirrhosis",3
"  Alcoholic liver disease",–
"Cholelithiasis and other disorders of gallbladder",1
"Nephritis, nephrotic syndrome and nephrosis",12
"Pregnancy, childbirth and the puerperium",2
"Certain conditions originating in the perinatal period",30
"Congenital malformations, deformations and chromosomal abnormalities",381
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",103
"Accidents (unintentional injuries)",1492
"  Motor vehicle accidents",847
"  Falls",28
"  Accidental discharge of firearms",25
"  Accidental drowning and submersion",233
"  Accidental hanging, strangulation, and suffocation",61
"  Accidental exposure to smoke, fire and flames",111
"  Accidental poisoning and exposure to noxious substances",33
"Intentional self–harm (suicide)",546
"  Intentional self–harm (suicide) by poisoning",31
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",328
"  Intentional self–harm (suicide) by discharge of firearms",172
"Assault (homicide)",346
"  Assault (homicide) by discharge of firearms",212
"Legal intervention",–
"Complications of medical and surgical care",38
"Dementia-related causes",25
"Drug-induced deaths",63
"  Drug overdose deaths",63
"Alcohol-induced deaths",2
"Injury by firearms",424
