"Cause of death","Percent of total deaths"
"All causes",100
"Accidents (unintentional injuries)",34.2
"Malignant neoplasms",14
"Congenital malformations, deformations and chromosomal abnormalities",6.2
"Assault (homicide)",5
"Diseases of heart",4.1
"Intentional self-harm (suicide)",3.9
"Chronic lower respiratory diseases",2.3
"Cerebrovascular diseases",1.9
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",1.2
"Influenza and pneumonia",1.2
"All other causes",26
