Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,34.82,7.08,24.46,26.58,28.02,29.88,34.32,39.08,42.38,44.7,47.5
"12–15 years",2318,47.37,7.53,35.46,37.67,39.34,42.13,47.17,52.25,55.3,57.12,59.93
"16–19 years",2027,50.34,7.43,38.74,41.2,42.58,45.15,50.28,55.15,57.78,59.81,62.42
"20–29 years",1378,50.87,7.65,38.49,41.54,43.29,45.8,50.65,56.1,59.07,60.59,63.21
"30–39 years",1372,50.84,7.91,37.51,41.21,42.96,45.83,50.48,56.1,59.32,61.05,63.63
"40–49 years",1570,51.62,8.16,38.33,40.81,42.83,45.88,51.61,56.95,59.92,62.23,64.82
"50–59 years",1200,50.44,8,37.15,39.91,41.91,45.14,50.52,55.59,58.64,60.43,63.91
"60–69 years",1419,48.51,8.5,34.93,37.44,39.45,42.68,48.35,54.56,57.65,59.46,62.16
"70–79 years",750,47.7,8.37,33.73,36.79,39.01,41.83,48.02,53.26,56.3,58.22,60.98
"80 years and over",594,45.26,8.63,31.39,34.1,36.04,39.31,44.83,51.04,53.94,56.35,59.9
"20 years and over (age-adjusted)",8283,50.19,,,,,,,,,,
