| Age   | Sample size |
| ----- | ----------- |
| 3     | 452         |
| 4     | 542         |
| 5     | 492         |
| 6     | 279         |
| 7     | 268         |
| 8     | 262         |
| 9     | 274         |
| 10    | 292         |
| 11    | 281         |
| 12    | 202         |
| 13    | 181         |
| 14    | 187         |
| 15    | 183         |
| 16    | 193         |
| 17    | 193         |
| 18    | 169         |
| 19    | 162         |
| 20+   | 7476        |
| 20–29 | 1587        |
| 30–39 | 1434        |
| 40–49 | 1177        |
| 50–59 | 817         |
| 60–69 | 1114        |
| 70–79 | 793         |
| 80+   | 554         |
