"Cause of death",Number
"All causes",10511
"Disorders related to short gestation and low birth weight, not elsewhere classified"
"Congenital malformations, deformations and chromosomal abnormalities"
"Newborn affected by maternal complications of pregnancy",786
"Respiratory distress of newborn",595
"Newborn affected by complications of placenta, cord and membranes"
"Bacterial sepsis of newborn",432
"Neonatal hemorrhage",342
"Intrauterine hypoxia and birth asphyxia",330
Atelectasis,293
"Necrotizing enterocolitis of newborn",187
"All other causes",2401
