"Cause of death",Number
"All causes",8265
"Disorders related to short gestation and low birth weight, not elsewhere classified"
"Congenital malformations, deformations and chromosomal abnormalities"
"Newborn affected by maternal complications of pregnancy",608
"Newborn affected by complications of placenta, cord and membranes"
"Respiratory distress of newborn",334
"Bacterial sepsis of newborn",305
"Intrauterine hypoxia and birth asphyxia",259
"Neonatal hemorrhage",221
Atelectasis,190
"Necrotizing enterocolitis of newborn",126
"All other causes",1856
