"Principal reason","Percent distribution","Standard error of percent"
"All male visits, age 15–64 years",44.7,0.6
"Chest pain and related symptoms",2.8,0.2
"Stomach pain, cramps, and spasms",2.6,0.1
"Back symptoms",1.7,0.1
"Pain, site not referable to a specific body system",1.6,0.1
"Headache, pain in head",1.3,0.1
"Lacerations and cuts—upper extremity",1.3,0.1
"Shortness of breath.",0.9,0.1
"Symptoms referable to throat",0.8,0.1
"Low back symptoms",0.8,0.1
"Leg symptoms",0.8,0.1
"All other reasons2",30.2,0.5
