Age,Injury,"Accidental discharge","Intentional self-harm (suicide)","Assault (homicide)","Undetermined intent","Legal intervention"
"All ages",10.4,0.3,6,3.9,0.1,0.1
"Under 1 year",*,*,...,*,*,*
"1-4 years",0.3,*,...,0.2,*,*
"5-9 years",0.4,*,*,0.3,*,*
"10-14 years",1.5,0.2,0.6,0.7,*,*
"15-19 years",13.1,0.5,4.5,7.8,0.1,0.1
"20-24 years",21.5,0.5,7.4,13.1,0.2,0.2
"25-29 years",17.7,0.4,6.9,10,0.2,0.3
"30-34 years",13.4,0.3,6.3,6.6,0.1,0.2
"35-39 years",12.2,0.3,6.8,4.8,*,0.2
"40-44 years",11.7,0.3,7.4,3.7,0.1,0.1
"45-49 years",10.8,0.2,7.5,2.9,*,0.1
"50-54 years",10.5,0.2,7.9,2.2,*,*
"55-59 years",9.7,0.3,7.5,1.8,*,*
"60-64 years",9.2,*,7.8,1.2,*,*
"65-69 years",9.8,0.3,8.4,1.1,*,*
"70-74 years",11.6,*,10.4,1,*,*
"75-79 years",13.4,*,12.4,0.7,*,*
"80-84 years",14.9,*,14.2,0.6,*,*
"85 years and over",14,*,13,0.7,*,*
"Age-adjusted rate",10.4,0.3,6,3.9,0.1,0.1
