"Cause of death","Rate (per 100000)"
"All causes",32.9
"Accidents (unintentional injuries)",12.1
"Congenital malformations, deformations and chromosomal abnormalities",3.3
"Malignant neoplasms",2.8
"Assault (homicide)",2.3
"Diseases of heart",1.2
"Influenza and pneumonia",0.7
Septicemia,0.7
"Certain conditions originating in the perinatal period",0.5
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior.",0.3
"Chronic lower respiratory diseases",0.3
"All other causes",8.7
