| Therapeutic drug category                          | Primary care | Surgical | Medical | Hospital outpatient | Emergency |
| -------------------------------------------------- | ------------ | -------- | ------- | ------------------- | --------- |
| All occurrences                                    | 1.9          | 1        | 1.7     | 1.1                 | 0.5       |
| Anti-infectives                                    | 2            | 0.8      | 1.2     | 1                   | 1         |
| Amebicides                                         | 4.9          | \-       | \-      | 2.3                 | 2.3       |
| Antifungals                                        | 3.8          | \-       | 3.5     | 1.7                 | 0.7       |
| Azole antifungals                                  | 4            | \-       | 3.7     | 1.8                 | 0.8       |
| Miscellaneous antifungals                          | \-           | \-       | \-      | \-                  | \-        |
| Antimalarial agents                                | 4.9          | 1.4      | 4.7     | 1.9                 | 1         |
| Antimalarial quinolines                            | 8.7          | \-       | 10.1    | 3.2                 | \-        |
| Miscellaneous antimalarials                        | 5.3          | \-       | 3.9     | 1.9                 | 1.6       |
| Antituberculosis agents                            | \-           | \-       | \-      | 6.1                 | \-        |
| Nicotinic acid derivatives                         | \-           | \-       | \-      | \-                  | \-        |
| Rifamycin derivatives                              | \-           | \-       | \-      | \-                  | \-        |
| Antiviral agents                                   | 6.3          | \-       | 7.4     | 5.6                 | 1.1       |
| Protease inhibitors                                | \-           | \-       | \-      | 14.3                | \-        |
| NRTIs                                              | \-           | \-       | \-      | 12.6                | \-        |
| NNRTIs                                             | \-           | \-       | \-      | 21.2                | \-        |
| Adamantane antivirals                              | \-           | \-       | \-      | \-                  | \-        |
| Purine nucleosides                                 | 4.8          | \-       | 3.3     | 2.1                 | 1.2       |
| Neuraminidase inhibitors                           | \-           | \-       | \-      | \-                  | 9.7       |
| Antiviral combinations                             | \-           | \-       | \-      | 18.7                | \-        |
| Cephalosporins                                     | 3            | 1.6      | 1.4     | 1.1                 | 2         |
| First generation cephalosporins                    | 3.7          | 1.7      | 1.9     | 1.5                 | 2.5       |
| Second generation cephalosporins                   | 9            | 7.3      | \-      | 2                   | 1.3       |
| Third generation cephalosporins                    | 3.8          | 1.7      | \-      | 1.4                 | 2.7       |
| Fourth generation cephalosporins                   | \-           | \-       | \-      | \-                  | \-        |
| Leprostatics                                       | \-           | \-       | \-      | \-                  | \-        |
| Macrolide derivatives                              | 2.5          | 1.1      | 1.5     | 1.2                 | 1.3       |
| Macrolides                                         | 2.6          | 1.1      | 1.6     | 1.2                 | 1.3       |
| Miscellaneous antibiotics                          | 3.2          | 1.1      | 2.4     | 1.2                 | 1.9       |
| Penicillins                                        | 2.4          | 0.7      | 0.7     | 1.2                 | 1.4       |
| Penicillinase resistant penicillins                | \-           | \-       | \-      | \-                  | \-        |
| Aminopenicillins                                   | 2.5          | 0.5      | \-      | 1.3                 | 1.5       |
| Beta-lactamase inhibitors                          | 3.5          | 1.9      | \-      | 1.2                 | 1.6       |
| Natural penicillins                                | 6.5          | \-       | \-      | 2.5                 | 5         |
| Quinolones                                         | 2.9          | 2.7      | 1.5     | 0.7                 | 1.3       |
| Sulfonamides                                       | 4            | 1.2      | 2.5     | 1.5                 | 2.3       |
| Tetracyclines                                      | 4.5          | \-       | 3.8     | 1.6                 | 1         |
| Urinary anti-infectives                            | 4.9          | 3.3      | \-      | 2.2                 | 2.2       |
| Aminoglycosides                                    | \-           | \-       | \-      | 5.9                 | 3.8       |
| Lincomycin derivatives                             | 5.6          | 5.7      | 5.3     | 1.7                 | 3.4       |
| Antineoplastics                                    | 3.6          | 2.1      | 4.3     | 3.5                 | 0.1       |
| Alkylating agents                                  | \-           | \-       | 11      | 10.2                | \-        |
| Antibiotics/antineoplastics                        | \-           | \-       | \-      | 13.4                | \-        |
| Antimetabolites                                    | 6.2          | \-       | 7.5     | 3.9                 | \-        |
| Hormones/antineoplastics                           | 4.1          | 2.8      | 3.5     | 2.3                 | \-        |
| Miscellaneous antineoplastics                      | \-           | \-       | 5.3     | 2.5                 | \-        |
| Mitotic inhibitors                                 | \-           | \-       | 11.7    | 8.2                 | \-        |
| Antineoplastic monoclonal antibodies               | \-           | \-       | 9.9     | 7.5                 | \-        |
| Tyrosine kinase inhibitors                         | \-           | \-       | 11.8    | \-                  | \-        |
| Biologicals                                        | \-           | \-       | 7.1     | 4                   | \-        |
| Colony stimulating factors                         | \-           | \-       | 13.2    | 12.6                | \-        |
| Recombinant human erythropoietins                  | \-           | \-       | 6.9     | 4.1                 | \-        |
| Cardiovascular agents                              | 2.8          | 1.5      | 2.6     | 1.5                 | 0.2       |
| Angiotensin converting enzyme inhibitors           | 2.8          | 1.4      | 2.4     | 1.8                 | 0.1       |
| Antiadrenergic agents, peripherally acting         | 4.3          | 3        | 3.5     | 1.3                 | 0.2       |
| Antiadrenergic agents, centrally acting            | 4.4          | \-       | 3.1     | 2.3                 | 1.7       |
| Antianginal agents                                 | 4.3          | \-       | 4.3     | 1.5                 | 2.9       |
| Antiarrhythmic agents                              | 3.8          | 5.1      | 4.8     | 5                   | 1.6       |
| Beta-adrenergic blocking agents                    | 3.1          | 1.9      | 3.1     | 1.7                 | 0.2       |
| Cardioselective beta blockers                      | 3.3          | 1.9      | 2.9     | 1.8                 | 0.3       |
| Non-cardioselective beta blockers                  | 3.7          | 3.1      | 4.9     | 1.5                 | 0.3       |
| Calcium channel blocking agents                    | 3.3          | 1.7      | 3.1     | 1.8                 | 0.2       |
| Diuretics                                          | 3.4          | 1.5      | 2.9     | 2                   | 0.3       |
| Loop diuretics                                     | 3.5          | 1.5      | 3.5     | 1.8                 | 0.5       |
| Potassium-sparing diuretics                        | 4.6          | \-       | 4.4     | 1.9                 | \-        |
| Thiazide diuretics                                 | 3.9          | 2.3      | 2.7     | 2.7                 | 0.2       |
| Carbonic anhydrase inhibitors                      | \-           | \-       | \-      | \-                  | \-        |
| Inotropic agents                                   | 5            | 2.5      | 5.2     | 1.8                 | 0.5       |
| Miscellaneous cardiovascular agents                | \-           | \-       | \-      | \-                  | \-        |
| Vasodilators                                       | 4.1          | 1.8      | 4.2     | 1.5                 | 2.5       |
| Vasopressors                                       | \-           | 14.7     | \-      | 4.9                 | 3.8       |
| Antihypertensive combinations                      | 4.5          | 1.8      | 3.7     | 1.2                 | 0.1       |
| Angiotensin II inhibitors                          | 3.9          | 2.6      | 3       | 1.1                 | 0.1       |
| Agents for pulmonary hypertension                  | 6.1          | 3.9      | \-      | 2.6                 | \-        |
| Aldosterone receptor antagonists                   | 5.4          | \-       | 5.6     | 2.4                 | \-        |
| Central nervous system agents                      | 2            | 1        | 1.7     | 1.2                 | 1.1       |
| Analgesics                                         | 2.1          | 1.1      | 1.8     | 1.1                 | 1.3       |
| Miscellaneous analgesics                           | 2.7          | 1.6      | 2       | 1.2                 | 2.2       |
| Narcotic analgesics                                | 3.5          | 1.1      | 3       | 2.5                 | 3         |
| Nonsteroidal anti-inflammatory agents              | 2.4          | 1.4      | 1.6     | 1.1                 | 1.6       |
| Salicylates                                        | 3.3          | 2        | 3.1     | 1.9                 | 0.6       |
| Analgesic combinations                             | 5.5          | 4        | 4.1     | 0.9                 | 1.3       |
| Narcotic analgesic combinations                    | 3            | 1.5      | 2.2     | 1.2                 | 2         |
| Antimigraine agents                                | 5.4          | \-       | 4.3     | 1.4                 | 0.6       |
| Cox-2 inhibitors                                   | 4.7          | 3.2      | 4.2     | 1                   | \-        |
| Anticonvulsants                                    | 2.8          | 1.2      | 2.6     | 1.2                 | 0.6       |
| Hydantoin anticonvulsants                          | 5.8          | \-       | 4       | 1.4                 | 2.3       |
| Barbiturate anticonvulsants                        | \-           | \-       | 7.1     | 3.5                 | \-        |
| Benzodiazepine anticonvulsants                     | 3.4          | 1.1      | 3.1     | 1.2                 | 1         |
| Miscellaneous anticonvulsants                      | \-           | \-       | \-      | \-                  | 9.5       |
| Dibenzazepine anticonvulsants                      | 6.1          | \-       | 5       | 2.8                 | 1.1       |
| Fatty acid derivative anticonvulsants              | 6.2          | \-       | 5       | 2.9                 | 1         |
| Gamma-aminobutyric acid analogs                    | 3.9          | 2.9      | 3.1     | 1.8                 | 0.2       |
| Triazine anticonvulsants                           | \-           | \-       | 5.5     | 2.4                 | \-        |
| Pyrrolidine anticonvulsants                        | \-           | \-       | 7.5     | 3.1                 | \-        |
| Carbonic anhydrase inhibitor anticonvulsants       | 5.1          | \-       | 5.1     | 1.6                 | \-        |
| Antiemetic/antivertigo agents                      | 2.7          | 0.5      | 2       | 1.7                 | 2         |
| 5HT3 receptor antagonists                          | \-           | \-       | 3.5     | 4.6                 | 4.5       |
| Phenothiazine antiemetics                          | 3.9          | \-       | 2.9     | 2                   | 3.4       |
| Anticholinergic antiemetics                        | 3.7          | 1.5      | 2.8     | 1.5                 | 1.9       |
| Miscellaneous antiemetics                          | 4.2          | 0.9      | 2.9     | 1.4                 | 1.9       |
| Anti-Parkinson agents                              | 3.2          | 2        | 3       | 1.5                 | 1.3       |
