"Therapeutic drug category","Standard error of rate"
"All occurrences",0.2
Anti-infectives,0.3
Amebicides,0
Antifungals,0
"Azole antifungals",0
"Miscellaneous antifungals",0
"Antimalarial agents",0
"Antimalarial quinolines",0
"Miscellaneous antimalarials",0
"Antituberculosis agents",0
"Nicotinic acid derivatives",0
"Rifamycin derivatives",0
"Antiviral agents",0
"Protease inhibitors",0
NRTIs,0
NNRTIs,0
"Adamantane antivirals",0
"Purine nucleosides",0
"Neuraminidase inhibitors",0
"Antiviral combinations",0
Cephalosporins,0.1
"First generation cephalosporins",0
"Second generation cephalosporins",0
"Third generation cephalosporins",0
"Fourth generation cephalosporins",0
Leprostatics,0
"Macrolide derivatives",0.1
Macrolides,0.1
"Miscellaneous antibiotics",0.1
Penicillins,0.1
"Penicillinase resistant penicillins",0
Aminopenicillins,0.1
"Beta-lactamase inhibitors",0.1
"Natural penicillins",0
Quinolones,0.1
Sulfonamides,0
Tetracyclines,0
"Urinary anti-infectives",0
Aminoglycosides,0
"Lincomycin derivatives",0
Antineoplastics,0.1
"Alkylating agents",0
Antibiotics/antineoplastics,0
Antimetabolites,0
Hormones/antineoplastics,0
"Miscellaneous antineoplastics",0
"Mitotic inhibitors",0
"Antineoplastic monoclonal antibodies",0
"Tyrosine kinase inhibitors",0
Biologicals,0
"Colony stimulating factors",0
"Recombinant human erythropoietins",0
"Cardiovascular agents",0.4
"Angiotensin converting enzyme inhibitors",0.1
"Antiadrenergic agents, peripherally acting",0
"Antiadrenergic agents, centrally acting",0
"Antianginal agents",0
"Antiarrhythmic agents",0.1
"Beta-adrenergic blocking agents",0.1
"Cardioselective beta blockers",0.1
"Non-cardioselective beta blockers",0.1
"Calcium channel blocking agents",0.1
Diuretics,0.1
"Loop diuretics",0.1
"Potassium-sparing diuretics",0
"Thiazide diuretics",0.1
"Carbonic anhydrase inhibitors",0
"Inotropic agents",0
"Miscellaneous cardiovascular agents",0
Vasodilators,0
Vasopressors,0
"Antihypertensive combinations",0.1
"Angiotensin II inhibitors",0.1
"Agents for pulmonary hypertension",0
"Aldosterone receptor antagonists",0
"Central nervous system agents",0.5
Analgesics,0.3
"Miscellaneous analgesics",0.1
"Narcotic analgesics",0.1
"Nonsteroidal anti-inflammatory agents",0.1
Salicylates,0.1
"Analgesic combinations",0
"Narcotic analgesic combinations",0.1
"Antimigraine agents",0
"Cox-2 inhibitors",0
Anticonvulsants,0.1
"Hydantoin anticonvulsants",0
"Barbiturate anticonvulsants",0
"Benzodiazepine anticonvulsants",0.1
"Miscellaneous anticonvulsants",0
"Dibenzazepine anticonvulsants",0
"Fatty acid derivative anticonvulsants",0
"Gamma-aminobutyric acid analogs",0
"Triazine anticonvulsants",0
"Pyrrolidine anticonvulsants",0
"Carbonic anhydrase inhibitor anticonvulsants",0
"Antiemetic/antivertigo agents",0.1
"5HT3 receptor antagonists",0
"Phenothiazine antiemetics",0
"Anticholinergic antiemetics",0
"Miscellaneous antiemetics",0.1
"Anti-Parkinson agents",0
"Anticholinergic anti-Parkinson agents",0
"Dopaminergic anti-Parkinson agents",0
"Anxiolytics, sedatives, and hypnotics",0.1
Barbiturates,0
Benzodiazepines,0.1
"Miscellaneous anxiolytics, sedatives and hypnotics",0.1
"CNS stimulants",0.1
"General anesthetics",0.1
"Muscle relaxants",0.1
"Neuromuscular blocking agents",0
"Skeletal muscle relaxants",0.1
"Miscellaneous central nervous system agents",0
"Adrenal cortical steroids",0.1
Glucocorticoids,0.1
"Miscellaneous hormones",0
"Sex hormones",0.1
Contraceptives,0.1
"Androgens and anabolic steroids",0
Estrogens,0
Gonadotropins,0
Progestins,0
"Sex hormone combinations",0
"Miscellaneous sex hormones",0
"5-alpha-reductase inhibitors",0
"Thyroid drugs",0.1
Bisphosphonates,0.1
"Incretin mimetics",0
"Miscellaneous agents",0.2
Antidotes,0
"Chelating agents",0
"Local injectable anesthetics",0.1
"Miscellaneous uncategorized agents",0.2
"Genitourinary tract agents",0
"Impotence agents",0
"Urinary antispasmodics",0
"Urinary pH modifiers",0
"Miscellaneous genitourinary tract agents",0
Antirheumatics,0.1
Antipsoriatics,0
"Smoking cessation agents",0
"Nutritional products",0.2
"Iron products",0.4
"Minerals and electrolytes",0.1
"Oral nutritional supplements",0
Vitamins,0.1
"Vitamin and mineral combinations",0.1
"Respiratory agents",0.4
Antihistamines,0.1
Antitussives,0
Bronchodilators,0.2
