"Table 134. Water insoluble dietary fiber in grams by sex, age, and income level: United States, 1988–94",,,,
"BOTH SEXEs",,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",29105,10.4,0.09,8.8
"Under 6 years",6871,6.1,0.1,5.3
"6–11 years",3134,8.7,0.24,7.5
"12–19 years",3121,9.5,0.25,7.8
"20–59 years",10940,11.2,0.11,9.6
"60 years and over",5039,11.3,0.15,9.7
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",10696,9.5,0.19,7.5
"Under 6 years",3145,6.1,0.16,5.3
"6–11 years",1446,9.3,0.4,7.7
"12–19 years",1345,9.2,0.36,7.5
"20–59 years",3329,10.7,0.29,8.5
"60 years and over",1431,9.3,0.27,7.7
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15771,10.6,0.1,9.2
"Under 6 years",3128,6.1,0.13,5.4
"6–11 years",1439,8.4,0.25,7.5
"12–19 years",1470,9.5,0.3,7.8
"20–59 years",6710,11.3,0.12,9.8
"60 years and over",3024,11.8,0.18,10.3
,,,,
"MALES ----------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",13923,11.8,0.12,10
"Under 6 years",3410,6.3,0.13,5.6
"6–11 years",1581,9.1,0.28,8
"12–19 years",1462,10.7,0.28,9
"20–59 years",5019,13.1,0.14,11.2
"60 years and over",2451,12.7,0.27,11.1
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",4929,10.8,0.26,8.7
"Under 6 years",1564,6.4,0.21,5.7
"6–11 years",713,9.6,0.4,8.3
"12–19 years",634,9.8,0.31,8.4
"20–59 years",1390,13.3,0.51,10.6
"60 years and over",628,10.3,0.46,8.5
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",7770,12,0.15,10.3
"Under 6 years",1548,6.4,0.15,5.6
"6–11 years",746,9,0.35,8
"12–19 years",674,10.9,0.37,9.3
"20–59 years",3226,13.1,0.16,11.4
"60 years and over",1576,13,0.31,11.5
,,,,
"FEMALES ------------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15182,9,0.1,7.8
"Under 6 years",3461,5.8,0.12,5
"6–11 years",1553,8.2,0.31,7
"12–19 years",1659,8.3,0.31,6.6
"20–59 years",5921,9.4,0.14,8.3
"60 years and over",2588,10.3,0.14,9.1
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",5767,8.4,0.21,6.8
"Under 6 years",1581,5.7,0.18,5
"6–11 years",733,9.1,0.56,7.2
"12–19 years",711,8.7,0.57,6.9
"20–59 years",1939,8.8,0.25,7
"60 years and over",803,8.8,0.31,7.6
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",8001,9.2,0.1,8.1
"Under 6 years",1580,5.9,0.15,5.1
"6–11 years",693,7.7,0.28,6.9
"12–19 years",796,8.1,0.37,6.4
"20–59 years",3484,9.5,0.15,8.5
"60 years and over",1448,10.8,0.17,9.4
