"Primary diagnosis","Percent distribution","Standard error of percent"
"All male visits, age 15–64 years",44.7,0.6
"Open wound, excluding head",2.4,0.1
"Contusion with intact skin surface",1.9,0.1
"Chest pain",1.8,0.1
"Cellulitis and abscess",1.5,0.1
"Spinal disorders",1.4,0.1
"Sprains and strains, excluding ankle and back",1.3,0.1
"Abdominal pain",1.3,0.1
"Sprains and strains of neck and back",1.2,0.1
"Fractures, excluding lower limb",1.2,0.1
"Drug dependence and nondependence abuse of drugs",0.9,0.1
"All other diagnoses",29.8,0.5
