"Primary diagnosis","Percent distribution","Standard error of percent"
"All female visits, age 15–64 years",55.3,0.6
"Abdominal pain",3.4,0.2
"Complications of pregnancy, childbirth, and the puerperium",2.3,0.2
"Chest pain",2,0.2
"Contusion with intact skin surface",2,0.1
"Spinal disorders",1.6,0.2
"Sprains and strains of neck and back",1.5,0.1
"Acute upper respiratory infections, excluding pharyngitis",1.5,0.1
"Urinary tract infection, site not specified",1.5,0.1
"Cellulitis and abscess",1.3,0.1
"Sprains and strains, excluding ankle and back ",1.2,0.1
"All other diagnoses",37.1,0.5
