"Systolic blood pressure (mm. Hg) ",Total,"Under 40","40-49 ",50-59,60-69,70-79,80-89,90-99,"100 and over",
Total,100,0.1,1.3,8.7,27.4,39.5,20.2,2.5,0.3,
"Under 80",0,,,0,,,,,,
80-89,1.4,,,0.6,0.7,0.1,,,,
90-99,8.9,,0.7,1.8,4.7,1.5,0.2,,,
100-109,19.7,,0.2,2.5,7.1,8.8,1.1,,,
110-119,31.7,,0.3,2.6,8.9,14.2,5.6,0.1,,
120-129,22.9,0.1,,0.8,5,8.7,7.5,0.7,0.1,
130-139,8.4,,0.1,0.4,0.6,3.9,2.8,0.6,,
140-149,4.7,,,0,0.2,1.2,2.7,0.6,,
150-159,1.8,,,,0.2,0.7,0.3,0.4,0.2,
"160 and over",0.5,,,,,0.4,0,0.1,0,
