"Cause of death (male, 75–84 years)",Number,"Percent of total deaths","Death rate"
"All causes",355100,100,5074.1
"Diseases of heart",88262,24.9,1261.2
"Malignant neoplasms",86248,24.3,1232.4
"Chronic lower respiratory diseases",24181,6.8,345.5
"Cerebrovascular diseases",18681,5.3,266.9
"Alzheimer disease",12695,3.6,181.4
"Diabetes mellitus",12105,3.4,173
"Accidents (unintentional injuries)",10338,2.9,147.7
"Parkinson disease",9627,2.7,137.6
"Nephritis, nephrotic syndrome and nephrosis",7623,2.1,108.9
"Influenza and pneumonia",6581,1.9,94
"All other causes",78759,22.2,1125.4
