"Cause of death",Number
"All causes",20921
"Certain intestinal infectious diseases",10
"Diarrhea and gastroenteritis of infectious origin",184
Tuberculosis,1
Tetanus,–
Diphtheria,–
"Whooping cough",4
"Meningococcal infection",5
Septicemia,133
"Congenital syphilis",5
"Gonococcal infection",–
"Acute poliomyelitis",–
"Varicella (chickenpox)",–
Measles,–
"Human immunodeficiency virus (HIV) disease",1
Mumps,–
Candidiasis,5
Malaria,–
Pneumocystosis,–
"Malignant neoplasms",55
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",42
"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism",88
"Short stature, not elsewhere classified",3
"Nutritional deficiencies",13
"Cystic fibrosis",2
"Volume depletion, disorders of fluid, electrolyte and acid-base balance",39
Meningitis,40
"Infantile spinal muscular atrophy, type I (Werdnig-Hoffman)",3
"Infantile cerebral palsy",4
"Anoxic brain damage, not elsewhere classified",24
"Diseases of the ear and mastoid process",3
"Diseases of the circulatory system",406
"Acute upper respiratory infections",10
"Influenza and pneumonia",156
"Acute bronchitis and acute bronchiolitis",42
"Bronchitis, chronic and unspecified",10
Asthma,1
"Pneumonitis due to solids and liquids",8
"Gastritis, duodenitis, and noninfective enteritis and colitis",36
"Hernia of abdominal cavity and intestinal obstruction without hernia",38
"Renal failure and other disorders of kidney",57
"Newborn affected by maternal hypertensive disorders",67
"Newborn affected by other maternal conditions which may be unrelated to present pregnancy",72
"Newborn affected by maternal complications of pregnancy",1245
"Newborn affected by complications of placenta, cord and membranes",742
"Newborn affected by other complications of labor and delivery",79
"Newborn affected by noxious influences transmitted via placenta or breast milk",36
"Slow fetal growth and fetal malnutrition",110
"Disorders related to short gestation and low birth weight, not elsewhere classified",3445
"Disorders related to long gestation and high birth weight",–
"Birth trauma",13
"Intrauterine hypoxia and birth asphyxia",336
"Respiratory distress of newborn",424
"Other respiratory conditions originating in the perinatal period",787
"Congenital pneumonia",47
"Neonatal aspiration syndromes",38
"Interstitial emphysema and related conditions originating in the perinatal period",90
"Pulmonary hemorrhage originating in the perinatal period",136
"Chronic respiratory disease originating in the perinatal period",157
Atelectasis,248
"Bacterial sepsis of newborn",603
"Omphalitis of newborn with or without mild hemorrhage",1
"Neonatal hemorrhage",348
"Hemorrhagic disease of newborn",1
"Hemolytic disease of newborn due to isoimmunization and other perinatal jaundice",17
"Hematological disorders",94
"Syndrome of infant of a diabetic mother and neonatal diabetes mellitus",12
"Necrotizing enterocolitis of newborn",354
"Hydrops fetalis not due to hemolytic disease",174
"Congenital malformations, deformations and chromosomal abnormalities",4301
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2453
"Sudden infant death syndrome",1248
"Accidents (unintentional injuries)",1266
"Assault (homicide)",263
"Complications of medical and surgical care",29
