Age,"Sample size",Mean,"Standard error",Median
"All ages",13922,49.9,0.29,50
"2–11 months",815,52.6,0.38,51.7
"1–2 years",1171,54,0.52,54
"3–5 years",1424,55,0.43,54.4
"6–11 years",1581,53.7,0.43,53.8
"12–15 years",750,53.8,0.61,53.5
"16–19 years",711,50.7,0.59,51.4
"20–29 years",1587,48.7,0.54,48.3
"30–39 years",1424,47.6,0.6,47.4
"40–49 years",1188,47.9,0.59,47.7
"50–59 years",820,47.7,0.63,47.5
"60–69 years",1111,49.4,0.53,48.5
"70–79 years",783,50.2,0.54,50
"80 years and over",557,52.1,0.54,52.3
