Age,"Education less than 5 years : Mean","Education less than 5 years : standard error","Education less than 5 years : standard deviation","Education 5-8 years : Mean","Education 5-8 years : standard error","Education 5-8 years : standard deviation","Education 9-12 years : Mean","Education 9-12 years : standard error","Education 9-12 years : standard deviation","Education 13 years or more : Mean","Education 13 years or more : standard error","Education 13 years or more : standard deviation"
"7-17 years (education : head of the household)",69,1.83,11.3,67.7,0.84,10.6,68.5,0.42,9.9,67.3,0.65,10.3
"7-11 years (education : head of the household)",66.5,2.17,8.2,64.6,1.32,10.1,65.6,0.6,9.4,64,0.92,9.6
"12-17 years (education : head of the household)",70.9,2.4,12.9,69.8,0.82,10.4,70.9,0.43,9.7,69.9,1.02,10.1
"18-74 years",90,1.7,15.2,85.9,0.61,12.8,83.2,0.35,12,81.6,0.48,11.5
"18-24 years",77.3,2.51,6.8,75.4,2.95,10.8,76.8,0.7,10.3,75.7,0.77,9.6
"25-34 years",90.5,6.92,11.2,81.3,1.17,8.2,82.1,0.57,10.7,79.5,0.71,9.6
"35-44 years",85.8,4.69,13.1,86.2,1.38,12,84.5,0.7,11,84.7,0.91,11.8
"45-54 years",96,3.58,17.4,86.8,1.13,13.2,88.2,0.81,13,86.9,1.47,11.6
"55-64 years",88.4,3.25,14.1,89.1,0.95,12.1,85.5,0.93,12,85.4,1.53,12
"65-74 years",89.1,1.59,14.3,85.6,0.85,13.9,85.4,0.65,11.8,83.3,1.34,12.3
"Age-adjusted value (18-74 years)",87.8,,,83.6,,,83.5,,,82.3,,
