"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",100398,100,552.5
"Diseases of heart",25927,25.8,142.7
"Malignant neoplasms",24215,24.1,133.3
"Accidents (unintentional injuries)",9063,9,49.9
"Chronic liver disease and cirrhosis",4975,5,27.4
"Intentional self-harm (suicide)",4149,4.1,22.8
"Human immunodeficiency virus (HIV) disease",3296,3.3,18.1
"Cerebrovascular diseases",3235,3.2,17.8
"Diabetes mellitus",2821,2.8,15.5
"Chronic lower respiratory diseases",1661,1.7,9.1
"Viral hepatitis",1425,1.4,7.8
"All other causes",19631,19.6,108
