Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,0.515,0.058,0.422,0.441,0.455,0.474,0.511,0.552,0.574,0.589,0.614
"12–15 years",2318,0.619,0.069,0.511,0.534,0.55,0.573,0.614,0.662,0.689,0.71,0.739
"16–19 years",2027,0.666,0.069,0.563,0.584,0.595,0.615,0.662,0.708,0.737,0.756,0.793
"20–29 years",1378,0.665,0.071,0.558,0.579,0.592,0.614,0.66,0.706,0.733,0.757,0.795
"30–39 years",1372,0.664,0.074,0.554,0.574,0.588,0.613,0.655,0.71,0.737,0.759,0.793
"40–49 years",1570,0.653,0.074,0.543,0.564,0.577,0.6,0.644,0.699,0.73,0.752,0.782
"50–59 years",1200,0.631,0.076,0.514,0.534,0.553,0.578,0.624,0.677,0.707,0.731,0.763
"60–69 years",1419,0.606,0.077,0.495,0.513,0.53,0.553,0.599,0.651,0.684,0.707,0.739
"70–79 years",750,0.579,0.07,0.468,0.494,0.51,0.533,0.574,0.617,0.65,0.674,0.707
"80 years and over",594,0.549,0.071,0.44,0.463,0.481,0.5,0.542,0.591,0.619,0.637,0.67
"20 years and over (age-adjusted)",8283,0.638,,,,,,,,,,
