Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1421,0.527,0.056,0.44,0.456,0.467,0.485,0.522,0.565,0.586,0.602,0.62
"12–15 years",2264,0.633,0.088,0.496,0.522,0.542,0.568,0.626,0.69,0.722,0.745,0.79
"16–19 years",2309,0.75,0.087,0.613,0.645,0.664,0.69,0.744,0.802,0.836,0.865,0.906
"20–29 years",1530,0.752,0.086,0.614,0.646,0.663,0.692,0.747,0.808,0.841,0.863,0.905
"30–39 years",1450,0.73,0.084,0.607,0.626,0.645,0.669,0.723,0.779,0.818,0.848,0.877
"40–49 years",1549,0.721,0.083,0.593,0.617,0.634,0.658,0.719,0.771,0.806,0.826,0.862
"50–59 years",1187,0.708,0.084,0.578,0.602,0.621,0.646,0.702,0.758,0.792,0.816,0.851
"60–69 years",1350,0.707,0.088,0.574,0.6,0.619,0.648,0.696,0.762,0.798,0.827,0.857
"70–79 years",825,0.679,0.087,0.543,0.571,0.589,0.618,0.672,0.737,0.767,0.786,0.832
"80 years and over",501,0.663,0.088,0.534,0.557,0.575,0.597,0.655,0.721,0.756,0.786,0.823
"20 years and over (age-adjusted)",8392,0.719,,,,,,,,,,
