"Table 26. Percent of calories from total fat by sex, age, and income level: United States, 1988–94",,,,
"BOTH SEXES",,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",29103,33.6,0.17,33.8
"Under 6 years",6871,33.6,0.21,33.8
"6–11 years",3134,33.7,0.22,33.6
"12–19 years",3119,33.7,0.23,33.8
"20–59 years",10940,33.9,0.26,34.2
"60 years and over",5039,32.2,0.2,32.3
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",10696,33.2,0.21,33.7
"Under 6 years",3145,34.6,0.32,35
"6–11 years",1446,33.7,0.33,33.8
"12–19 years",1345,34.4,0.42,35
"20–59 years",3329,32.8,0.32,33.2
"60 years and over",1431,31.5,0.44,31.7
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15770,33.7,0.21,33.9
"Under 6 years",3128,32.9,0.24,32.9
"6–11 years",1439,33.6,0.32,33.4
"12–19 years",1469,33.4,0.31,33.3
"20–59 years",6710,34.2,0.29,34.5
"60 years and over",3024,32.4,0.25,32.6
,,,,
"MALES --------------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",13922,33.8,0.22,34.1
"Under 6 years",3410,33.3,0.27,33.8
"6–11 years",1581,33.8,0.33,33.9
"12–19 years",1461,33.6,0.37,33.8
"20–59 years",5019,34.1,0.32,34.5
"60 years and over",2451,33,0.3,33.2
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",4929,33.6,0.37,34.2
"Under 6 years",1564,34.5,0.45,35.2
"6–11 years",713,34.5,0.59,34.2
"12–19 years",634,34.9,0.83,35.3
"20–59 years",1390,32.5,0.47,32.9
"60 years and over",628,33.5,0.73,34
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",7769,33.9,0.24,34.1
"Under 6 years",1548,32.6,0.28,32.8
"6–11 years",746,33.4,0.4,33.5
"12–19 years",673,33.1,0.43,33.1
"20–59 years",3226,34.5,0.34,34.7
"60 years and over",1576,32.9,0.32,33.1
,,,,
"FEMALES -------------------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15181,33.4,0.19,33.5
"Under 6 years",3461,33.9,0.25,34
"6–11 years",1553,33.6,0.36,33.4
"12–19 years",1658,33.8,0.41,33.8
"20–59 years",5921,33.7,0.27,33.9
"60 years and over",2588,31.6,0.24,31.6
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",5767,33,0.26,33.2
"Under 6 years",1581,34.7,0.41,34.7
"6–11 years",733,33,0.62,33.4
"12–19 years",711,34,0.64,35
"20–59 years",1939,33.1,0.39,33.3
"60 years and over",803,30.5,0.53,30.3
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",8001,33.5,0.24,33.6
"Under 6 years",1580,33.3,0.35,33
"6–11 years",693,33.8,0.49,33.4
"12–19 years",796,33.7,0.51,33.6
"20–59 years",3484,33.9,0.32,34.2
"60 years and over",1448,32,0.34,32
