"Table 24. Percent of calories from alcohol by sex, age, and income level: United States, 1988–94",,,,
"BOTH SEXES",,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",29103,2.1,0.11,
"Under 6 years",6871,–,–,
"6–11 years",3134,–,–,
"12–19 years",3119,0.6,0.13,
"20–59 years",10940,3.2,0.17,
"60 years and over",5039,2,0.25,
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",10696,1.4,0.11,
"Under 6 years",3145,–,–,
"6–11 years",1446,–,–,
"12–19 years",1345,0.5,0.14,
"20–59 years",3329,2.7,0.22,
"60 years and over",1431,0.9,0.23,
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15770,2.4,0.14,
"Under 6 years",3128,–,–,
"6–11 years",1439,–,–,
"12–19 years",1469,0.7,0.15,
"20–59 years",6710,3.3,0.21,
"60 years and over",3024,2.4,0.31,
,,,,
"MALES ------------------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",13922,2.7,0.13,
"Under 6 years",3410,–,–,
"6–11 years",1581,–,–,
"12–19 years",1461,0.9,0.19,
"20–59 years",5019,3.9,0.19,
"60 years and over",2451,2.9,0.35,
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",4929,2.1,0.2,
"Under 6 years",1564,–,–,
"6–11 years",713,–,–,
"12–19 years",634,0.8,0.28,
"20–59 years",1390,4.1,0.39,
"60 years and over",628,1.9,0.57,
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",7769,2.9,0.16,
"Under 6 years",1548,–,–,
"6–11 years",746,–,–,
"12–19 years",673,1,0.2,
"20–59 years",3226,3.9,0.23,
"60 years and over",1576,3.2,0.4,
,,,,
"FEMALES ------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15181,1.6,0.12,
"Under 6 years",3461,–,–,
"6–11 years",1553,–,–,
"12–19 years",1658,0.3,0.1,
"20–59 years",5921,2.4,0.21,
"60 years and over",2588,1.3,0.2,
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",5767,0.8,0.11,
"Under 6 years",1581,–,–,
"6–11 years",733,–,–,
"12–19 years",711,0.2,0.07,
"20–59 years",1939,1.6,0.26,
"60 years and over",803,0.4,0.1,
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",8001,1.9,0.16,
"Under 6 years",1580,–,–,
"6–11 years",693,–,–,
"12–19 years",796,0.4,0.15,
"20–59 years",3484,2.7,0.27,
"60 years and over",1448,1.7,0.26,
