| Diseases                   | Under 1 |
| -------------------------- | ------- |
| Consumption (Tuberculosis) | 1       |
| Pneumonia                  | 9.8     |
| Diseases of the heart      | 1.5     |
| Typhoid fever              | 0.5     |
| Bright’s disease           |         |
| Cancer                     | 0       |
| Old age                    |         |
| Apoplexy (nervous system)  | 0.1     |
| Cholera infantum           | 9.2     |
| Paralysis (nervous system) | 0.1     |
| Bronchitis                 | 3.6     |
| Enteritis                  | 5.4     |
| Meningitis                 | 3.1     |
