Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",*,3.9,4,4,4.2,4.4,4.5,4.5,*
"3 years",3.9,4,4.1,4.2,4.4,4.5,4.6,4.7,4.9
"4 years",*,4.2,4.2,4.3,4.5,4.7,4.8,5,*
"5 years",*,4.3,4.4,4.5,4.7,5,5.2,5.3,*
"6 years",*,*,4.5,4.6,4.9,5.1,5.2,*,*
"7 years",*,*,4.7,4.8,5.1,5.4,5.5,*,*
"8 years",*,*,5,5.1,5.3,5.5,5.7,*,*
"9 years",*,*,5.2,5.3,5.5,5.7,6,*,*
"10 years",*,*,5.4,5.5,5.7,6,6.1,*,*
"11 years",*,*,5.6,5.7,5.9,6.2,6.3,*,*
"12 years",*,*,5.6,5.8,6.1,6.4,6.5,*,*
"13 years",*,*,5.8,5.9,6.2,6.5,6.6,*,*
"14 years",*,*,5.9,6,6.1,6.5,6.6,*,*
"15 years",*,*,5.8,6,6.2,6.5,6.6,*,*
"16 years",*,*,5.8,6,6.2,6.5,6.5,*,*
"17 years",*,*,5.8,6,6.2,6.5,6.6,*,*
"18 years",*,*,5.7,5.9,6,6.4,6.6,*,*
"19 years",*,*,5.9,6,6.2,6.6,6.7,*,*
"20 years and older",5.7,5.9,6,6.1,6.4,6.8,7,7.2,7.4
"20–29 years",5.6,5.7,5.8,6,6.2,6.5,6.7,6.8,7.1
"30–39 years",5.7,5.8,6,6.1,6.4,6.7,6.9,7,7.4
"40–49 years",5.8,5.9,6,6.2,6.5,6.7,7,7.2,7.4
"50–59 years",5.9,6,6.1,6.2,6.6,7,7.3,7.4,7.7
"60–69 years",6,6.1,6.1,6.3,6.6,6.9,7.1,7.3,7.5
"70–79 years",5.9,6,6.1,6.2,6.6,7,7.2,7.3,7.7
"80 years and older",5.8,6,6.1,6.2,6.5,6.9,7,7.1,7.3
