| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 1              |
| 2–11 months       | 0.6            |
| 1–2 years         | 0.9            |
| 3–5 years         | 1              |
| 6–11 years        | 1.9            |
| 12–15 years       | 2.8            |
| 16–19 years       | 3              |
| 20–29 years       | 2.4            |
| 30–39 years       | 2.3            |
| 40–49 years       | 2              |
| 50–59 years       | 2.7            |
| 60–69 years       | 1.7            |
| 70–79 years       | 1.5            |
| 80 years and over | 1.7            |
