"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",1799825,100,5175.4
"Diseases of heart",593707,33,1707.2
"Malignant neoplasms",392366,21.8,1128.2
"Cerebrovascular diseases",148045,8.2,425.7
"Chronic lower respiratory diseases",106375,5.9,305.9
"Influenza and pneumonia",58557,3.3,168.4
"Diabetes mellitus",52414,2.9,150.7
"Alzheimer’s disease",48993,2.7,140.9
"Nephritis, nephrotic syndrome and nephrosis",31225,1.7,89.8
"Accidents (unintentional injuries)",31051,1.7,89.3
Septicemia,24786,1.4,71.3
"All other causes",312306,17.4,898
