| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.4            |
| 2–11 months       | 0.2            |
| 1–2 years         | 0.2            |
| 3–5 years         | 0.5            |
| 6–11 years        | 0.7            |
| 12–15 years       | 1.3            |
| 16–19 years       | 0.8            |
| 20–29 years       | 0.7            |
| 30–39 years       | 0.7            |
| 40–49 years       | 0.8            |
| 50–59 years       | 0.7            |
| 60–69 years       | 0.4            |
| 70–79 years       | 0.4            |
| 80 years and over | 0.5            |
