"Table 78. Total trans-fatty acid intake in grams by sex, age, and income level: United States, 1988–94",,,,
"BOTH SEXES",,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",29103,5.2,0.08,4
"Under 6 years",6871,3,0.07,2.5
"6–11 years",3134,4.9,0.12,4.2
"12–19 years",3119,6.2,0.15,5
"20–59 years",10940,5.6,0.1,4.3
"60 years and over",5039,4.3,0.08,3.3
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",10696,4.6,0.1,3.6
"Under 6 years",3145,3,0.1,2.5
"6–11 years",1446,4.6,0.18,3.9
"12–19 years",1345,6,0.25,4.5
"20–59 years",3329,5,0.18,3.9
"60 years and over",1431,3.7,0.12,2.9
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15770,5.4,0.1,4.2
"Under 6 years",3128,3,0.08,2.6
"6–11 years",1439,5,0.16,4.3
"12–19 years",1469,6.2,0.19,5.1
"20–59 years",6710,5.8,0.12,4.5
"60 years and over",3024,4.5,0.1,3.5
,,,,
"MALES -----------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",13922,6.1,0.12,4.8
"Under 6 years",3410,3.1,0.08,2.6
"6–11 years",1581,5.2,0.17,4.3
"12–19 years",1461,7.3,0.21,6
"20–59 years",5019,6.8,0.17,5.4
"60 years and over",2451,5.1,0.14,4.1
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",4929,5.3,0.14,4.1
"Under 6 years",1564,3.2,0.1,2.6
"6–11 years",713,4.9,0.18,4.2
"12–19 years",634,6.8,0.37,4.7
"20–59 years",1390,5.9,0.26,4.8
"60 years and over",628,4.5,0.2,3.6
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",7769,6.4,0.14,5.1
"Under 6 years",1548,3.1,0.1,2.7
"6–11 years",746,5.4,0.24,4.6
"12–19 years",673,7.5,0.27,6.4
"20–59 years",3226,7.1,0.2,5.6
"60 years and over",1576,5.2,0.17,4.2
,,,,
"FEMALES ----------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15181,4.3,0.05,3.4
"Under 6 years",3461,2.9,0.08,2.4
"6–11 years",1553,4.5,0.14,3.9
"12–19 years",1658,5,0.17,4
"20–59 years",5921,4.5,0.08,3.6
"60 years and over",2588,3.7,0.07,2.9
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",5767,4.1,0.1,3.2
"Under 6 years",1581,2.9,0.14,2.4
"6–11 years",733,4.4,0.26,3.6
"12–19 years",711,5.3,0.32,4.2
"20–59 years",1939,4.3,0.17,3.3
"60 years and over",803,3.3,0.14,2.6
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",8001,4.4,0.07,3.5
"Under 6 years",1580,3,0.1,2.6
"6–11 years",693,4.6,0.18,4
"12–19 years",796,4.9,0.18,3.7
"20–59 years",3484,4.6,0.09,3.7
"60 years and over",1448,3.8,0.08,3
