| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.05           |
| 2–11 months       | 0.05           |
| 1–2 years         | 0.1            |
| 3–5 years         | 0.08           |
| 6–11 years        | 0.13           |
| 12–15 years       | 0.15           |
| 16–19 years       | 0.17           |
| 20–29 years       | 0.14           |
| 30–39 years       | 0.16           |
| 40–49 years       | 0.14           |
| 50–59 years       | 0.2            |
| 60–69 years       | 0.14           |
| 70–79 years       | 0.18           |
| 80 years and over | 0.14           |
