Age,"Sample size",Mean,"Standard error",Median
"All ages",15181,2175,61.1,797
"2–11 months",805,1749,109.2,442
"1–2 years",1139,1083,63,473
"3–5 years",1517,1167,87.7,492
"6–11 years",1553,1457,121,508
"12–15 years",848,1538,331.6,525
"16–19 years",810,1470,212.7,587
"20–29 years",1813,1888,165.4,755
"30–39 years",1814,2387,143.4,889
"40–49 years",1315,2291,132.7,865
"50–59 years",979,2731,194.1,1081
"60–69 years",1097,3022,148.9,1344
"70–79 years",895,3066,176.3,1429
"80 years and over",596,3123,214.8,1283
