"Table 66. Zinc intake in milligrams by sex, age, and income level: United States, 1988–94",,,,
"BOTH SEXES",,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",29105,11.4,0.09,9.5
"Under 6 years",6871,7.3,0.09,6.6
"6–11 years",3134,10,0.17,8.8
"12–19 years",3121,12.2,0.38,10.2
"20–59 years",10940,12.4,0.14,10.5
"60 years and over",5039,10.4,0.23,8.6
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",10696,10.7,0.15,8.8
"Under 6 years",3145,7.6,0.13,6.9
"6–11 years",1446,10.3,0.21,9
"12–19 years",1345,11.1,0.29,9.8
"20–59 years",3329,12.1,0.28,9.8
"60 years and over",1431,9.1,0.53,7.1
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15771,11.6,0.12,9.8
"Under 6 years",3128,7.1,0.11,6.4
"6–11 years",1439,9.9,0.25,8.7
"12–19 years",1470,12.5,0.52,10.4
"20–59 years",6710,12.5,0.15,10.6
"60 years and over",3024,10.8,0.27,9
,,,,
"MALES ---------------------------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",13923,13.6,0.15,11.4
"Under 6 years",3410,7.6,0.1,6.9
"6–11 years",1581,10.8,0.26,9.8
"12–19 years",1462,14.9,0.62,12.4
"20–59 years",5019,15.1,0.18,12.9
"60 years and over",2451,12.6,0.41,10.3
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",4929,12.8,0.27,10.3
"Under 6 years",1564,7.9,0.16,7.2
"6–11 years",713,11.4,0.41,10.3
"12–19 years",634,12.7,0.4,10.8
"20–59 years",1390,15.6,0.51,12.6
"60 years and over",628,10.4,0.47,8.4
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",7770,13.9,0.18,11.8
"Under 6 years",1548,7.4,0.14,6.7
"6–11 years",746,10.7,0.3,9.8
"12–19 years",674,15.6,0.86,12.8
"20–59 years",3226,15,0.19,13
"60 years and over",1576,13,0.53,10.6
,,,,
"FEMALES ---------------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15182,9.3,0.1,8
"Under 6 years",3461,7,0.12,6.3
"6–11 years",1553,9.2,0.31,7.9
"12–19 years",1659,9.5,0.26,8.4
"20–59 years",5921,9.8,0.17,8.5
"60 years and over",2588,8.8,0.22,7.6
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",5767,9.1,0.16,7.7
"Under 6 years",1581,7.4,0.19,6.6
"6–11 years",733,9.3,0.29,8
"12–19 years",711,9.7,0.35,8.8
"20–59 years",1939,9.5,0.25,8.1
"60 years and over",803,8.5,0.6,6.6
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",8001,9.4,0.12,8.2
"Under 6 years",1580,6.8,0.14,6.2
"6–11 years",693,9.1,0.46,7.8
"12–19 years",796,9.2,0.28,8.3
"20–59 years",3484,9.9,0.2,8.6
"60 years and over",1448,8.9,0.22,7.8
