"Primary diagnosis","Standard error of percent"
"All female visits, age under 15 years",0.9
"Acute upper respiratory infections, excluding pharyngitis",0.5
"Otitis media and Eustachian tube disorders",0.3
"Unspecified viral and Chlamydia infection",0.4
"Contusion with intact skin surface",0.3
"Pyrexia of unknown origin",0.3
"Open wound of head",0.2
"Acute pharyngitis",0.2
"Abdominal pain",0.2
"Noninfectious enteritis and colitis",0.3
"Fractures, excluding lower limb ",0.2
"All other diagnoses",0.7
