"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",12317,100,621.5
"Congenital malformations, deformations and chromosomal abnormalities",2715,22,137
"Disorders related to short gestation and low birth weight, not elsewhere classified",2006,16.3,101.2
"Sudden infant death syndrome",1014,8.2,51.2
"Newborn affected by maternal complications of pregnancy",613,5,30.9
"Newborn affected by complications of placenta, cord and membranes",493,4,24.9
"Accidents (unintentional injuries)",380,3.1,19.2
"Respiratory distress of newborn",356,2.9,18
"Bacterial sepsis of newborn",321,2.6,16.2
"Diseases of the circulatory system",306,2.5,15.4
"Intrauterine hypoxia and birth asphyxia",278,2.3,14
"All other causes",3835,31.1,193.5
