Age,"Sample size",Mean,"Standard error",Median
"All ages",15182,1764,11.4,1648
"2–11 months",805,857,14.3,815
"1–2 years",1139,1257,16.5,1222
"3–5 years",1517,1543,25.6,1480
"6–11 years",1553,1794,27.6,1687
"12–15 years",848,1993,54.8,1907
"16–19 years",811,1963,45.5,1818
"20–29 years",1813,1992,31,1861
"30–39 years",1814,1927,31.2,1803
"40–49 years",1315,1802,26.2,1706
"50–59 years",979,1638,33,1566
"60–69 years",1097,1548,28,1473
"70–79 years",895,1440,17.7,1399
"80 years and over",596,1391,26.5,1333
