"Primary diagnosis","Percent distribution"
"All female visits, age 15–64 years",55.3
"Abdominal pain",3.4
"Complications of pregnancy, childbirth, and the puerperium",2.3
"Chest pain",2
"Contusion with intact skin surface",2
"Spinal disorders",1.6
"Sprains and strains of neck and back",1.5
"Acute upper respiratory infections, excluding pharyngitis",1.5
"Urinary tract infection, site not specified",1.5
"Cellulitis and abscess",1.3
"Sprains and strains, excluding ankle and back ",1.2
"All other diagnoses",37.1
