Age,"Urban areas more than 1000000 persons : Mean","Urban areas more than 1000000 persons : standard error","Urban areas more than 1000000 persons : standard deviation","Urban areas less than 1000000 persons : Mean","Urban areas less than 1000000 persons : standard error","Urban areas less than 1000000 persons : standard deviation","Urban not in urbanized area : Mean","Urban not in urbanized area : standard error","Urban not in urbanized area : standard deviation","Rural area : Mean","Rural area : standard error","Rural area : standard deviation"
"7-74 years",76.1,0.38,14.1,75.8,1.17,13.7,76.5,0.5,13.6,77.4,0.47,13.5
"7-11 years",63.1,0.71,9.2,63.7,1.98,11.3,64.8,0.95,9.2,65.6,1.23,9.7
"12-17 years",68.1,0.72,9.5,68.5,1.41,9.3,68.6,0.86,9.9,70.1,0.82,9.9
"18-24 years",71.2,0.49,9.4,71.8,1.38,11,71,0.7,9.7,72,0.73,10.4
"25-34 years",73.4,0.4,10.2,75.5,0.7,10.7,74.3,0.85,11.3,76,0.5,10.4
"35-44 years",79.4,0.7,12.8,80.7,1.06,13.3,78.7,0.81,10.4,81.3,0.74,12.3
"45-54 years",83.3,1.05,14.2,82.5,1.88,14.3,84.9,1.71,15.1,84.2,0.82,12.1
"55-64 years",88.4,1,13.5,84.6,1.6,10.9,85.4,1.82,12.2,87.2,1.04,13.2
"65-74 years",86,0.6,12.6,84.6,0.94,12.8,85.5,1.63,13.8,87.1,0.83,12.5
"Age-adjusted value",76.1,,,76.1,,,76.2,,,77.5,,
