"Body site","Number of visits in thousands","Standard error in thousands"
"All injury visits",39395,2089
"Head and neck",5411,355
"Traumatic brain injury",373,48
"Other head",1383,151
Face,1855,164
Eye,454,43
"Head, face, and neck unspecified",1346,103
"Vertebral column",2083,192
Cervical,1087,117
"Thoracic and dorsal",189,42
Lumbar,765,88
Torso,1809,134
Chest,732,70
Abdomen,168,33
"Pelvis and urogenital",242,39
Trunk,173,29
"Back and buttocks",494,60
"Upper extremity",7335,480
"Shoulder and upper arm",1326,122
"Forearm and elbow",1008,93
"Wrist, hand, and fingers",4582,306
"Other and unspecified upper extremity",418,64
"Lower extremity",5754,340
Hip,488,63
"Upper leg and thigh",203,36
Knee,507,58
"Lower leg and ankle",1601,131
"Foot and toes",1294,107
"Other and unspecified lower extremity",1661,136
Systemwide,1316,110
"Other and unspecified body site injuries",1855,174
"Adverse effects and medical complications",1208,109
"All other diagnoses",11735,639
Unknown,881,95
