"Systolic blood pressure (mm. Hg) ",Total,"Under 60",60-69,70-79,80-89,90-99,100-109,110-119,120-129,"130 and over"
Total,100,0.7,2.4,16.8,36.8,25.5,10.6,4.5,1.7,1
"Under 100",0.4,,0.3,0.1,,,,,,
100-109,4.3,0.2,0.7,2,1.4,,,,,
110-119,12.4,0.1,1,6,4.8,0.5,0,,,
120-129,23.7,0.2,0.2,5.1,14.4,3.6,0.2,,,
130-139,19.9,0.2,0.2,1.7,8.3,8.5,1,,,
140-149,18.3,,,1.7,4.8,8,3.5,0.3,,
150-159,7.1,,,,2.3,2.2,1.8,0.5,0.3,
160-169,5.1,,,,0.3,1.1,2.1,1.1,0.3,0.2
170-179,4.5,,,,0.2,1.4,1.2,1.2,0.5,
180-189,1.8,,,,0.1,0.2,0.6,0.8,0.1,
190-199,2,,,0.2,0.2,,0.2,0.6,0.5,0.3
"200 and over",0.5,,,,,,0,0,0,0.5
