| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.1            |
| 3     | 0.09           |
| 4     | 0.09           |
| 5     | 0.11           |
| 6     | 0.19           |
| 7     | 0.19           |
| 8     | 0.21           |
| 9     | 0.25           |
| 10    | 0.23           |
| 11    | 0.25           |
| 12    | 0.33           |
| 13    | 0.37           |
| 14    | 0.53           |
| 15    | 0.38           |
| 16    | 0.41           |
| 17    | 0.43           |
| 18    | 0.37           |
| 19    | 0.4            |
| 20+   | 0.07           |
| 20–29 | 0.12           |
| 30–39 | 0.13           |
| 40–49 | 0.14           |
| 50–59 | 0.15           |
| 60–69 | 0.13           |
| 70–79 | 0.15           |
| 80+   | 0.17           |
