"Cause of death (females, Postneonates)","Death rate (per 100000)"
"All causes",171
"Congenital malformations, deformations and chromosomal abnormalities",34.2
"Sudden infant death syndrome",25.4
"Accidents (unintentional injuries)",24.6
"Diseases of the circulatory system",8.1
"Assault (homicide)",5.4
"Diarrhea and gastroenteritis of infectious origin",4.5
"Influenza and pneumonia",3.6
Septicemia,3.5
"Chronic respiratory disease originating in the perinatal period",3.4
"Disorders related to short gestation and low birth weight, not elsewhere classified",1.9
"All other causes",56.4
