Age,"Sample size",Mean,"Standard error",Median
"All ages",29105,2129,15.8,1925
"2–11 months",1620,888,9.6,841
"1–2 years",2310,1310,13.7,1272
"3–5 years",2941,1607,22.2,1533
"6–11 years",3134,1974,28.3,1854
"12–15 years",1599,2316,48.9,2110
"16–19 years",1522,2516,47.4,2330
"20–29 years",3400,2511,30.5,2256
"30–39 years",3238,2394,34.6,2194
"40–49 years",2503,2214,30.5,2059
"50–59 years",1799,2028,32.2,1913
"60–69 years",2208,1819,26.1,1717
"70–79 years",1678,1651,21.3,1542
"80 years and over",1153,1538,28.6,1434
