"Cause of death (male, 65 years and over)",Number,"Percent of total deaths","Death rate"
"All causes",1013512,100,4209.9
"Diseases of heart",269477,26.6,1119.4
"Malignant neoplasms",230736,22.8,958.4
"Chronic lower respiratory diseases",61967,6.1,257.4
"Cerebrovascular diseases",52368,5.2,217.5
"Alzheimer disease",37381,3.7,155.3
"Diabetes mellitus",33565,3.3,139.4
"Accidents (unintentional injuries)",32229,3.2,133.9
"Nephritis, nephrotic syndrome and nephrosis",21158,2.1,87.9
"Parkinson disease",21015,2.1,87.3
"Influenza and pneumonia",19359,1.9,80.4
"All other causes",234257,23.1,973.1
