"Cause of death (female, 65 years and over)",Number,"Percent of total deaths","Death rate"
"All causes",1103820,100,3681.4
"Diseases of heart",262106,23.7,874.2
"Malignant neoplasms",204726,18.5,682.8
"Alzheimer disease",82709,7.5,275.8
"Cerebrovascular diseases",76825,7,256.2
"Chronic lower respiratory diseases",71279,6.5,237.7
"Diabetes mellitus",28832,2.6,96.2
"Accidents (unintentional injuries)",28298,2.6,94.4
"Nephritis, nephrotic syndrome and nephrosis",21072,1.9,70.3
"Influenza and pneumonia",21040,1.9,70.2
"Essential hypertension and hypertensive renal disease",17705,1.6,59
"All other causes",289228,26.2,964.6
