Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1421,46.84,11.67,31.08,33.58,35.15,38.24,45.07,53.13,59.58,62.67,68.42
"12–15 years",2264,71.54,20.51,41.74,45.86,49.97,56.34,70.3,84.39,92.9,98.23,107.8
"16–19 years",2309,98.39,20.16,68.42,74.6,78.14,84.52,96.49,110.86,118.6,124.35,134.31
"20–29 years",1530,102.03,21.96,71.29,77.66,81.28,86.44,100.18,113.05,121.77,129.32,140.63
"30–39 years",1450,98.8,21.84,67.84,74.57,78.47,84.28,96.19,110.67,118.53,125.41,136.36
"40–49 years",1549,96.14,19.72,65.98,72.4,77.25,82.68,94.25,108.39,115.91,121,129.43
"50–59 years",1187,92.29,19.44,64.56,69.12,71.89,78.59,90.39,104.58,112.38,117.78,126.4
"60–69 years",1350,90.34,19.46,60.91,66.87,70.94,76.44,89.11,102.42,109.52,115.54,123.53
"70–79 years",825,83.64,19.36,54.97,59.71,63.82,70.07,81.08,96.43,103.75,108.94,117.13
"80 years and over",501,76.74,18.1,50.9,54.17,57.7,63.38,75.45,87.76,96.18,101.33,108.62
"20 years and over (age-adjusted)",8392,94.66,,,,,,,,,,
