"Primary diagnosis","Number of visits in thousands","Standard error in thousands"
"All male visits, age under 15 years",12236,1047
"Acute upper respiratory infections, excluding pharyngitis",1250,174
"Otitis media and Eustachian tube disorders",946,120
"Open wound of head",651,71
"Contusion with intact skin surface",583,61
"Pyrexia of unknown origin",541,62
"Open wound, excluding head",434,63
Asthma,375,62
"Fractures, excluding lower limb",364,47
"Unspecified viral and Chlamydia infection",351,48
"Acute pharyngitis",292,38
"All other diagnoses",6450,618
