Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",139.42,154.22,163.08,179.74,217.65,267.12,294.25,319.63,346.86
"12–15 years",243.56,270.81,284.18,305.9,352.5,401.31,428.62,444.25,475.99
"16–19 years",283.79,306.23,322.91,346.57,387.23,432.85,461.23,480.04,523.01
"20–29 years",295.5,319.56,330.72,353.39,396.04,440.6,465.06,483.91,514.14
"30–39 years",304.76,325.75,335.49,357.71,396.82,441.71,469.13,484.08,519.24
"40–49 years",304.88,323.25,337.91,358.69,401.57,442.95,466.63,486.97,515.6
"50–59 years",283.5,305.01,318.12,339.99,381.36,424.08,447.03,472.8,497.99
"60–69 years",261.13,285.66,297.32,319.11,365.48,409.11,434,448.01,471.82
"70–79 years",220.41,246.58,264.4,285.65,325.47,370.59,394.94,411.99,435.44
"80 years and over",180.55,199.21,216.17,240.83,286.93,330.85,360.3,373.29,394.48
