"Cause of death","Age-adjusted death rate"
"All causes",715.2
"Enterocolitis due to Clostridium difficile",1.1
Septicemia,9.5
"Viral hepatitis",1
"Human immunodeficiency virus (HIV) disease",1.4
"Malignant neoplasms",146.2
"  Malignant neoplasms of lip, oral cavity and pharynx",2.5
"  Malignant neoplasm of esophagus",3.8
"  Malignant neoplasm of stomach",2.8
"  Malignant neoplasms of colon, rectum and anus",13.1
"  Malignant neoplasms of liver and intrahepatic bile ducts",6.6
"  Malignant neoplasm of pancreas",11
"  Malignant neoplasms of trachea, bronchus and lung",33.4
"  Malignant melanoma of skin",2
"  Malignant neoplasm of breast",10.7
"  Malignant neoplasm of cervix uteri",1.1
"  Malignant neoplasm of ovary",3.3
"  Malignant neoplasm of prostate",7.7
"  Malignant neoplasms of kidney and renal pelvis",3.4
"  Malignant neoplasm of bladder",4.1
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",4.3
"  Non-Hodgkin lymphoma",5
"  Multiple myeloma and immunoproliferative neoplasms",3.1
"  Leukemia",5.8
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",3.9
Anemias,1.3
"Diabetes mellitus",21.6
"Nutritional deficiencies",2.8
Obesity,2.2
"Parkinson disease",8.8
"Alzheimer disease",29.8
"Major cardiovascular diseases",213.4
"  Diseases of heart",161.5
"  Essential hypertension and hypertensive renal disease",8.9
"  Cerebrovascular diseases",37
"  Atherosclerosis",1.1
"  Aortic aneurysm and dissection",2.5
"Influenza and pneumonia",12.3
"Chronic lower respiratory diseases",38.2
"Pneumonitis due to solids and liquids",4.7
"Chronic liver disease and cirrhosis",11.3
"  Alcoholic liver disease",6.4
"Cholelithiasis and other disorders of gallbladder",0.9
"Nephritis, nephrotic syndrome and nephrosis",12.7
"Pregnancy, childbirth and the puerperium",0.4
"Certain conditions originating in the perinatal period",3.8
"Congenital malformations, deformations and chromosomal abnormalities",3.1
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",8.5
"Accidents (unintentional injuries)",49.3
"  Motor vehicle accidents",11.5
"  Falls",9.8
"  Accidental discharge of firearms",0.2
"  Accidental drowning and submersion",1.1
"  Accidental hanging, strangulation, and suffocation",1.9
"  Accidental exposure to smoke, fire and flames",0.7
"  Accidental poisoning and exposure to noxious substances",20.2
"Intentional self–harm (suicide)",13.9
"  Intentional self–harm (suicide) by poisoning",1.8
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",4.2
"  Intentional self–harm (suicide) by discharge of firearms",6.8
"Assault (homicide)",6
"  Assault (homicide) by discharge of firearms",4.6
"Legal intervention",0.2
"Complications of medical and surgical care",1.3
"Dementia-related causes",66.6
"Drug-induced deaths",22.8
"  Drug overdose deaths",21.6
"Alcohol-induced deaths",10.4
"Injury by firearms",11.9
