| Cause of death                                                                      | Age-adjusted rate |
| ----------------------------------------------------------------------------------- | ----------------- |
| All causes                                                                          | 602.7             |
| Enterocolitis due to Clostridium difficile                                          | 1.1               |
| Septicemia                                                                          | 8.6               |
| Viral hepatitis                                                                     | 0.7               |
| Human immunodeficiency virus (HIV) disease                                          | 0.7               |
| Malignant neoplasms                                                                 | 126.2             |
| \- Malignant neoplasms of lip, oral cavity and pharynx                              | 1.4               |
| \- Malignant neoplasm of esophagus                                                  | 1.4               |
| \- Malignant neoplasm of stomach                                                    | 2                 |
| \- Malignant neoplasms of colon, rectum and anus                                    | 11.1              |
| \- Malignant neoplasms of liver and intrahepatic bile ducts                         | 4.1               |
| \- Malignant neoplasm of pancreas                                                   | 9.6               |
| \- Malignant neoplasms of trachea, bronchus and lung                                | 28.2              |
| \- Malignant melanoma of skin                                                       | 1.3               |
| \- Malignant neoplasm of breast                                                     | 19.4              |
| \- Malignant neoplasm of cervix uteri                                               | 2.1               |
| \- Malignant neoplasm of ovary                                                      | 6                 |
| \- Malignant neoplasm of prostate                                                   | …                 |
| \- Malignant neoplasms of kidney and renal pelvis                                   | 2.1               |
| \- Malignant neoplasm of bladder                                                    | 2                 |
| \- Malignant neoplasms of meninges, brain and other parts of central nervous system | 3.5               |
| \- Non-Hodgkin lymphoma                                                             | 3.8               |
| \- Multiple myeloma and immunoproliferative neoplasms                               | 2.5               |
| \- Leukemia                                                                         | 4.3               |
| In situ and benign neoplasms, neoplasms of uncertain/unknown behavior               | 3.1               |
| Anemias                                                                             | 1.3               |
| Diabetes mellitus                                                                   | 16.9              |
| Nutritional deficiencies                                                            | 2.9               |
| Obesity                                                                             | 2                 |
| Parkinson disease                                                                   | 5.8               |
| Alzheimer disease                                                                   | 33.6              |
| Major cardiovascular diseases                                                       | 175.3             |
| \- Diseases of heart                                                                | 126.2             |
| \- Essential hypertension and hypertensive renal disease                            | 8.3               |
| \- Cerebrovascular diseases                                                         | 35.8              |
| \- Atherosclerosis                                                                  | 0.9               |
| \- Aortic aneurysm and dissection                                                   | 1.8               |
| Influenza and pneumonia                                                             | 10.7              |
| Chronic lower respiratory diseases                                                  | 35.7              |
| Pneumonitis due to solids and liquids                                               | 3.5               |
| Chronic liver disease and cirrhosis                                                 | 8                 |
| \- Alcoholic liver disease                                                          | 3.9               |
| Cholelithiasis and other disorders of gallbladder                                   | 0.8               |
| Nephritis, nephrotic syndrome and nephrosis                                         | 10.7              |
| Pregnancy, childbirth and the puerperium                                            | 0.7               |
| Certain conditions originating in the perinatal period                              | 3.4               |
| Congenital malformations, deformations, chromosomal abnormalities                   | 2.9               |
| Symptoms, signs and abnormal clinical and laboratory findings, N.E.C.               | 7.6               |
| Accidents (unintentional injuries)                                                  | 31.3              |
| \- Motor vehicle accidents                                                          | 6.5               |
| \- Falls                                                                            | 8                 |
| \- Accidental discharge of firearms                                                 | 0                 |
| \- Accidental drowning and submersion                                               | 0.5               |
| \- Accidental hanging, strangulation, and suffocation                               | 1.5               |
| \- Accidental exposure to smoke, fire and flames                                    | 0.5               |
| \- Accidental poisoning and exposure to noxious substances                          | 11.9              |
| Intentional self–harm (suicide)                                                     | 6                 |
| \- Intentional self–harm (suicide) by poisoning                                     | 1.7               |
| \- Intentional self–harm (suicide) by hanging, strangulation and suffocation        | 1.8               |
| \- Intentional self–harm (suicide) by discharge of firearms                         | 1.8               |
| Assault (homicide)                                                                  | 2.4               |
| \- Assault (homicide) by discharge of firearms                                      | 1.4               |
| Legal intervention                                                                  | 0                 |
| Complications of medical and surgical care                                          | 1.1               |
| Dementia-related causes                                                             | 72.6              |
| Drug-induced deaths                                                                 | 14.5              |
| \- Drug overdose deaths                                                             | 13.7              |
| Alcohol-induced deaths                                                              | 5.9               |
| Injury by firearms                                                                  | 3.4               |
