Age,"Sample size",Mean,"Standard error",Median
"All ages",15182,12.8,0.17,11
"2–11 months",805,15.6,0.34,14.2
"1–2 years",1139,9.5,0.2,8.3
"3–5 years",1517,11.4,0.19,9.8
"6–11 years",1553,13,0.41,11.2
"12–15 years",848,13.4,0.66,11.4
"16–19 years",811,12.5,0.37,10.7
"20–29 years",1813,13.2,0.3,11.3
"30–39 years",1814,13,0.34,11.4
"40–49 years",1315,12.9,0.52,11.1
"50–59 years",979,12.6,0.38,10.9
"60–69 years",1097,12.8,0.42,10.5
"70–79 years",895,12.9,0.37,10.7
"80 years and over",596,12.9,0.43,10.5
