"Systolic blood pressure (mm. Hg) ",Total,"Under 60",60-69,70-79,80-89,90-99,100-109,110-119,120-129,"130 and over"
Total,100,0.8,4.1,22.1,40.2,20.3,8.3,3.5,0.5,0.2
"Under 100",0.9,,0.8,0.1,,,,,,
100-109,7.8,0.2,1.3,4.6,1.7,,,,,
110-119,18.2,0.3,1.3,6.9,9.1,0.6,,,,
120-129,26.7,,0.4,6.1,14.9,5.2,0.1,,,
130-139,24.6,0.3,0.1,3.8,10.5,7,2.6,0.3,,
140-149,11.9,,0.2,0.1,3.4,4.4,2.9,0.9,,
150-159,6.1,,,,0.4,2.5,2.4,0.8,,
160-169,2.3,,,,0.2,0.6,0.1,1.4,,
170-179,0.7,,,0.5,,,0.2,0,,
"180 and over",0.8,,,,,,,0.1,0.5,0.2
