Age,"Sample size",Mean,"Standard error",Median
"All ages",13923,1503,14,1378
"2–11 months",815,638,13.7,539
"1–2 years",1171,987,17.5,945
"3–5 years",1424,1096,19.5,1032
"6–11 years",1581,1336,32.9,1278
"12–15 years",751,1536,44.1,1386
"16–19 years",711,1786,54.5,1645
"20–29 years",1587,1739,32.3,1594
"30–39 years",1424,1665,36.5,1525
"40–49 years",1188,1549,31.9,1467
"50–59 years",820,1505,35.3,1404
"60–69 years",1111,1356,24.1,1261
"70–79 years",783,1245,25.3,1145
"80 years and over ",557,1178,27.6,1090
