Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",195.41,204.74,213.08,221.23,240.71,268,287.46,301.97,330.3
"12–15 years",257.75,272.03,286.8,307.68,352.76,397.76,417.22,429.71,448.19
"16–19 years",334.82,348.08,357.14,373.71,404.87,436.83,457.02,467.39,485.97
"20–29 years",337.79,355.42,364.71,381.22,410.6,440.24,458.57,470.71,491.36
"30–39 years",338.02,353.93,363.64,378.57,408.94,440.65,457.28,469.22,489.72
"40–49 years",349.24,365,375.96,389.23,415.98,443.81,460.55,469.39,486.03
"50–59 years",343.69,361.06,369.54,385.9,412.83,438.5,454.45,468.33,485.14
"60–69 years",340.94,356.62,367.85,384.66,413.83,440.69,455.57,465.78,481.84
"70–79 years",331.77,349.04,359.06,376.7,405.84,435.49,450.55,460.07,477.32
"80 years and over",319.56,340.38,350.59,367.18,392.61,418.41,434.21,445.03,459.33
