"Primary diagnosis","Percent distribution","Standard error of percent"
"All female visits, age under 15 years",45.2,0.9
"Acute upper respiratory infections, excluding pharyngitis",4.2,0.5
"Otitis media and Eustachian tube disorders",2.8,0.3
"Unspecified viral and Chlamydia infection",2.3,0.4
"Contusion with intact skin surface",2,0.3
"Pyrexia of unknown origin",1.9,0.3
"Open wound of head",1.7,0.2
"Acute pharyngitis",1.6,0.2
"Abdominal pain",1.4,0.2
"Noninfectious enteritis and colitis",1.2,0.3
"Fractures, excluding lower limb ",0.9,0.2
"All other diagnoses",25.3,0.7
