Diseases,Total,"Under 1",1-4,5-9,10-14,15-19,20-24,25–34,35–44,45–54,55–64,65AndOver,65–74,75–84,"85 and over"
"Consumption (Tuberculosis)",11.5,1.1,2.1,4.2,12.9,29.5,35.7,33,22.4,13.6,8.3,3.7,5.3,2.7,1.1
Pneumonia,9.8,9.5,14.7,9.1,8.5,7.5,6.6,7.5,8.8,9.7,11,9.8,10.9,9.6,6.7
"Diseases of the heart",6.6,1.5,0.6,3.2,6.1,3.9,4.1,5.1,8.1,10.8,13.1,12.1,14,11.5,7.2
Cancer,3.7,0,0.1,0.2,0.2,0.3,0.5,1.8,6.5,11.6,10.9,5.5,7.3,4.4,2.2
"Typhoid fever",3.4,0.6,2.6,7.4,14.4,13.5,8.4,5.3,3.8,2.8,1.8,0.7,1,0.5,0.3
"Old age",3.3,,,,,,,,,,0.7,15.5,5.3,19.1,40.7
"Bright’s disease",2.7,,,1.3,2.1,1.7,2.3,3.1,4.7,5.9,6.1,3.8,4.9,3.1,1.7
"Apoplexy (nervous system)",2.6,0.1,0.2,0.2,0.3,0.4,0.4,0.7,1.9,4.9,6.5,6.5,7.1,6.6,4.5
"Cholera infantum",2.4,9.6,6.1,,,,,,,,,,,,
"Paralysis (nervous system)",2.2,0.1,0.2,0.4,0.4,0.4,0.4,0.6,1.3,2.8,4.5,6.6,6.4,7.3,5.1
Bronchitis,2.1,3.6,3.2,1.2,0.7,0.6,0.5,0.5,0.5,1.1,1.8,3,2.8,3.2,3.2
Enteritis,1.9,5.4,3.6,1.3,0.7,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,0.9,0.6
Meningitis,1.8,3,5,4.7,3.8,1.6,1,0.8,0.7,0.6,0.4,0.2,0.2,0.2,0.1
